Item,Calories,TotalFat,Carbs,Protein
Chick-fil-A® Chicken Biscuit,460,23,45,19
Chick-fil-A Chick-n-Minis™,360,13,41,19
Egg White Grill,290,8,30,26
Hash Brown Scramble Burrito,700,40,51,34
Hash Brown Scramble Bowl,470,30,19,29
"Bacon, Egg & Cheese Biscuit",420,23,38,15
"Sausage, Egg & Cheese Biscuit",610,42,38,22
"Bacon, Egg & Cheese Muffin",310,14,29,16
"Sausage, Egg & Cheese Muffin",500,33,30,23
Buttered Biscuit,290,15,37,4
English Muffin,140,2,29,5
Hash Browns,270,18,23,3
Greek Yogurt Parfait,270,9,36,13
Fruit Cup,60,0,15,1
4 Chick-fil-A Chick-n-Minis™,360,13,41,19
10 ct Chick-fil-A Chick-n-Minis™,870,35,92,48
10 ct Heart-Shaped Tray,870,35,92,48
Hash Brown Scramble Burrito w/ Nuggets,700,40,51,34
Hash Brown Scramble Burrito w/ Sausage,720,47,46,28
Hash Brown Scramble Burrito w/ Grilled Filet,650,36,46,35
Hash Brown Scramble Burrito w/ Nuggets - no hash browns,550,30,38,33
Hash Brown Scramble Burrito w/ Sausage - no hash browns,440,38,1,26
Hash Brown Scramble Burrito w/ Grilled Filet - no hash brown,500,25,34,34
Hash Brown Scramble Bowl w/ Nuggets,470,30,19,29
Hash Brown Scramble Bowl w/ Sausage,480,37,15,23
Hash Brown Scramble Bowl w/ Grilled Filet,410,26,15,30
Hash Brown Scramble Bowl w/ Nuggets - no hash browns,320,20,7,28
Hash Brown Scramble Bowl w/ Sausage - no hash browns,320,26,1,21
Hash Brown Scramble Bowl w/ Grilled Filet - no hash browns,260,16,1,28
Greek Yogurt Parfait w/ Cookie Crumbs,240,8,33,12
Greek Yogurt Parfait w/ Granola,270,9,36,13
Small Fruit Cup,50,0,13,1
Medium Fruit Cup,60,0,15,1
Chick-fil-A® Chicken Sandwich,440,17,41,29
Chick-fil-A® Deluxe Sandwich,500,22,44,32
Spicy Chicken Sandwich,460,19,45,28
Spicy Deluxe Sandwich,550,25,47,33
Grilled Chicken Sandwich,380,11,44,28
Chick-fil-A® Grilled Chicken Club Sandwich,520,22,44,37
Chick-fil-A® Nuggets,250,11,11,27
Grilled Nuggets,130,3,1,25
Chick-fil-A Chick-n-Strips®,310,14,16,29
Chick-fil-A® Cool Wrap,660,45,32,43
Chick-fil-A® Deluxe Sandwich w/ American,500,22,44,32
Chick-fil-A® Deluxe Sandwich w/ Colby Jack,530,24,44,35
Chick-fil-A® Deluxe Sandwich w/ Pepper Jack,520,24,44,34
Chick-fil-A® Deluxe Sandwich w/ No Cheese,450,17,43,30
Spicy Deluxe Sandwich w/ Pepper Jack,550,25,47,33
Spicy Deluxe Sandwich w/ American,520,23,47,31
Spicy Deluxe Sandwich w/ Colby Jack,550,25,47,34
Spicy Deluxe Sandwich w/ No Cheese,470,19,47,29
